  0 TAO,  Function value: 9.14752,  Residual: 3.48895 
  0 TAO,  Function value: 9.14752,  Residual: 3.4775 
  0 TAO,  Function value: 9.14752,  Residual: 3.46751 
  0 TAO,  Function value: 9.14752,  Residual: 3.42144 
  0 TAO,  Function value: 9.14752,  Residual: 3.41074 
  0 TAO,  Function value: 9.14752,  Residual: 3.40011 
  0 TAO,  Function value: 9.14752,  Residual: 3.37548 
  0 TAO,  Function value: 9.14752,  Residual: 3.37239 
  0 TAO,  Function value: 9.14752,  Residual: 3.35705 
  0 TAO,  Function value: 9.14752,  Residual: 3.30918 
  0 TAO,  Function value: 9.14752,  Residual: 3.30374 
  0 TAO,  Function value: 9.14752,  Residual: 3.28536 
  0 TAO,  Function value: 9.14752,  Residual: 3.27538 
  0 TAO,  Function value: 9.14752,  Residual: 3.2401 
  0 TAO,  Function value: 9.14752,  Residual: 3.22504 
  0 TAO,  Function value: 9.14752,  Residual: 3.21596 
  0 TAO,  Function value: 9.14752,  Residual: 3.21345 
  0 TAO,  Function value: 9.14752,  Residual: 3.19773 
  0 TAO,  Function value: 9.14752,  Residual: 3.17966 
  0 TAO,  Function value: 9.14752,  Residual: 3.10873 
  0 TAO,  Function value: 9.14752,  Residual: 3.09453 
  0 TAO,  Function value: 9.14752,  Residual: 3.05619 
  0 TAO,  Function value: 9.14752,  Residual: 3.05581 
  0 TAO,  Function value: 9.14752,  Residual: 3.03429 
  0 TAO,  Function value: 9.14752,  Residual: 3.02603 
  0 TAO,  Function value: 9.14752,  Residual: 3.01953 
  0 TAO,  Function value: 9.14752,  Residual: 3.01248 
  0 TAO,  Function value: 9.14752,  Residual: 2.99414 
  0 TAO,  Function value: 9.14752,  Residual: 2.97076 
  0 TAO,  Function value: 9.14752,  Residual: 2.95651 
  0 TAO,  Function value: 9.14752,  Residual: 2.91726 
  0 TAO,  Function value: 9.14752,  Residual: 2.91201 
  0 TAO,  Function value: 9.14752,  Residual: 2.9026 
  0 TAO,  Function value: 9.14752,  Residual: 2.89629 
  0 TAO,  Function value: 9.14752,  Residual: 2.89543 
  0 TAO,  Function value: 9.14752,  Residual: 2.89204 
  0 TAO,  Function value: 9.14752,  Residual: 2.88078 
  0 TAO,  Function value: 9.14752,  Residual: 2.87431 
  0 TAO,  Function value: 9.14752,  Residual: 2.86346 
  0 TAO,  Function value: 9.14752,  Residual: 2.85708 
  0 TAO,  Function value: 9.14752,  Residual: 2.85473 
  0 TAO,  Function value: 9.14752,  Residual: 2.84455 
  0 TAO,  Function value: 9.14752,  Residual: 2.83531 
  0 TAO,  Function value: 9.14752,  Residual: 2.83499 
  0 TAO,  Function value: 9.14752,  Residual: 2.81353 
  0 TAO,  Function value: 9.14752,  Residual: 2.81233 
  0 TAO,  Function value: 9.14752,  Residual: 2.80941 
  0 TAO,  Function value: 9.14752,  Residual: 2.75458 
  0 TAO,  Function value: 9.14752,  Residual: 2.75372 
  0 TAO,  Function value: 9.14752,  Residual: 2.75284 
  0 TAO,  Function value: 9.14752,  Residual: 2.74844 
  0 TAO,  Function value: 9.14752,  Residual: 2.7266 
  0 TAO,  Function value: 9.14752,  Residual: 2.70656 
  0 TAO,  Function value: 9.14752,  Residual: 2.69245 
  0 TAO,  Function value: 9.14752,  Residual: 2.66882 
  0 TAO,  Function value: 9.14752,  Residual: 2.65967 
  0 TAO,  Function value: 9.14752,  Residual: 2.58155 
  0 TAO,  Function value: 9.14752,  Residual: 2.57364 
  0 TAO,  Function value: 9.14752,  Residual: 2.46067 
  0 TAO,  Function value: 9.14752,  Residual: 2.42343 
  0 TAO,  Function value: 9.14752,  Residual: 2.4169 
  0 TAO,  Function value: 9.14752,  Residual: 2.3664 
  0 TAO,  Function value: 9.14752,  Residual: 2.3504 
  0 TAO,  Function value: 9.14752,  Residual: 2.33299 
  0 TAO,  Function value: 9.14752,  Residual: 2.32685 
  0 TAO,  Function value: 9.14752,  Residual: 2.30507 
  0 TAO,  Function value: 9.14752,  Residual: 2.25636 
  0 TAO,  Function value: 9.14752,  Residual: 2.24807 
  0 TAO,  Function value: 9.14752,  Residual: 2.23154 
  0 TAO,  Function value: 9.14752,  Residual: 2.21213 
  0 TAO,  Function value: 9.14752,  Residual: 2.15751 
  0 TAO,  Function value: 9.14752,  Residual: 2.15694 
  0 TAO,  Function value: 9.14752,  Residual: 2.14726 
  0 TAO,  Function value: 9.14752,  Residual: 2.03784 
  0 TAO,  Function value: 9.14752,  Residual: 2.01711 
  0 TAO,  Function value: 9.14752,  Residual: 2.00715 
  0 TAO,  Function value: 9.14752,  Residual: 1.98842 
  0 TAO,  Function value: 9.14752,  Residual: 1.97541 
  0 TAO,  Function value: 9.14752,  Residual: 1.96746 
  0 TAO,  Function value: 9.14752,  Residual: 1.95271 
  0 TAO,  Function value: 9.14752,  Residual: 1.94524 
  0 TAO,  Function value: 9.14752,  Residual: 1.93892 
  0 TAO,  Function value: 8.85499,  Residual: 2.22571 
  0 TAO,  Function value: 8.85499,  Residual: 2.22396 
  0 TAO,  Function value: 8.75024,  Residual: 2.30323 
  0 TAO,  Function value: 8.75024,  Residual: 2.29213 
  0 TAO,  Function value: 8.75024,  Residual: 2.285 
  0 TAO,  Function value: 8.75024,  Residual: 2.28449 
  0 TAO,  Function value: 8.75024,  Residual: 2.27997 
  0 TAO,  Function value: 8.75024,  Residual: 2.25981 
  0 TAO,  Function value: 8.75024,  Residual: 2.24274 
  0 TAO,  Function value: 8.75024,  Residual: 2.23448 
  0 TAO,  Function value: 8.75024,  Residual: 2.22943 
  0 TAO,  Function value: 8.75024,  Residual: 2.19082 
  0 TAO,  Function value: 8.75024,  Residual: 2.17278 
  0 TAO,  Function value: 8.75024,  Residual: 2.17016 
  0 TAO,  Function value: 8.75024,  Residual: 2.14129 
  0 TAO,  Function value: 8.75024,  Residual: 2.13456 
  0 TAO,  Function value: 8.75024,  Residual: 2.12666 
  0 TAO,  Function value: 8.75024,  Residual: 2.12272 
  0 TAO,  Function value: 8.75024,  Residual: 2.10902 
  0 TAO,  Function value: 8.75024,  Residual: 2.09474 
  0 TAO,  Function value: 8.75024,  Residual: 2.09006 
  0 TAO,  Function value: 8.75024,  Residual: 2.06997 
  0 TAO,  Function value: 8.75024,  Residual: 2.06486 
  0 TAO,  Function value: 8.75024,  Residual: 2.05802 
  0 TAO,  Function value: 8.75024,  Residual: 2.0527 
  0 TAO,  Function value: 8.75024,  Residual: 2.05174 
  0 TAO,  Function value: 8.4571,  Residual: 2.33424 
  0 TAO,  Function value: 8.4571,  Residual: 2.32891 
  0 TAO,  Function value: 8.4571,  Residual: 2.32819 
  0 TAO,  Function value: 8.4571,  Residual: 2.31084 
  0 TAO,  Function value: 8.4571,  Residual: 2.29824 
  0 TAO,  Function value: 8.4571,  Residual: 2.28879 
  0 TAO,  Function value: 8.4571,  Residual: 2.28778 
  0 TAO,  Function value: 8.4571,  Residual: 2.28071 
  0 TAO,  Function value: 8.4571,  Residual: 2.27905 
  0 TAO,  Function value: 8.34307,  Residual: 2.38816 
  0 TAO,  Function value: 8.34307,  Residual: 2.37762 
  0 TAO,  Function value: 8.34307,  Residual: 2.36297 
  0 TAO,  Function value: 8.34307,  Residual: 2.3485 
  0 TAO,  Function value: 8.34307,  Residual: 2.33896 
  0 TAO,  Function value: 8.34307,  Residual: 2.32919 
  0 TAO,  Function value: 8.34307,  Residual: 2.32226 
  0 TAO,  Function value: 8.34307,  Residual: 2.30488 
  0 TAO,  Function value: 8.34307,  Residual: 2.28615 
  0 TAO,  Function value: 8.34307,  Residual: 2.26662 
  0 TAO,  Function value: 8.34307,  Residual: 2.24311 
  0 TAO,  Function value: 8.34307,  Residual: 2.23958 
  0 TAO,  Function value: 8.34307,  Residual: 2.2359 
  0 TAO,  Function value: 8.34307,  Residual: 2.22514 
  0 TAO,  Function value: 8.34307,  Residual: 2.21545 
  0 TAO,  Function value: 8.34307,  Residual: 2.17643 
  0 TAO,  Function value: 8.34307,  Residual: 2.17508 
  0 TAO,  Function value: 8.34307,  Residual: 2.174 
  0 TAO,  Function value: 8.34307,  Residual: 2.17265 
  0 TAO,  Function value: 8.34307,  Residual: 2.17037 
  0 TAO,  Function value: 8.34307,  Residual: 2.16581 
  0 TAO,  Function value: 8.34307,  Residual: 2.13566 
  0 TAO,  Function value: 8.34307,  Residual: 2.13037 
  0 TAO,  Function value: 8.34307,  Residual: 2.12342 
  0 TAO,  Function value: 8.34307,  Residual: 2.11643 
  0 TAO,  Function value: 8.34307,  Residual: 2.09026 
  0 TAO,  Function value: 8.34307,  Residual: 2.08908 
  0 TAO,  Function value: 8.34307,  Residual: 2.08652 
  0 TAO,  Function value: 8.34307,  Residual: 2.08353 
  0 TAO,  Function value: 8.34307,  Residual: 2.08067 
  0 TAO,  Function value: 8.34307,  Residual: 2.06749 
  0 TAO,  Function value: 8.34307,  Residual: 2.03702 
  0 TAO,  Function value: 8.29893,  Residual: 2.07679 
  0 TAO,  Function value: 8.29893,  Residual: 2.06855 
  0 TAO,  Function value: 8.29893,  Residual: 2.06476 
  0 TAO,  Function value: 8.29893,  Residual: 2.05452 
  0 TAO,  Function value: 8.29893,  Residual: 2.03851 
  0 TAO,  Function value: 8.29893,  Residual: 2.03724 
  0 TAO,  Function value: 8.29893,  Residual: 2.00775 
  0 TAO,  Function value: 8.29893,  Residual: 2.00245 
  0 TAO,  Function value: 8.29893,  Residual: 1.98975 
  0 TAO,  Function value: 8.29893,  Residual: 1.9889 
  0 TAO,  Function value: 8.29893,  Residual: 1.98428 
  0 TAO,  Function value: 8.19834,  Residual: 2.04281 
  0 TAO,  Function value: 8.19834,  Residual: 2.04073 
  0 TAO,  Function value: 8.19834,  Residual: 2.01692 
  0 TAO,  Function value: 8.19834,  Residual: 2.01007 
  0 TAO,  Function value: 8.17054,  Residual: 2.03786 
  0 TAO,  Function value: 8.14567,  Residual: 2.04214 
  0 TAO,  Function value: 8.14567,  Residual: 2.04073 
  0 TAO,  Function value: 8.14567,  Residual: 2.03172 
  0 TAO,  Function value: 8.12378,  Residual: 2.04291 
  0 TAO,  Function value: 8.12378,  Residual: 2.01002 
  0 TAO,  Function value: 8.12378,  Residual: 2.00635 
  0 TAO,  Function value: 8.12378,  Residual: 2.00545 
  0 TAO,  Function value: 8.12378,  Residual: 1.95481 
  0 TAO,  Function value: 8.12378,  Residual: 1.95114 
  0 TAO,  Function value: 8.07272,  Residual: 1.99614 
