  Iteration information for tao_brgn_subsolver_ solve.
119 TAO,  Function value: 1.16513e-06,  Residual: 7.06819e-07 
120 TAO,  Function value: 1.16504e-06,  Residual: 6.9877e-07 
121 TAO,  Function value: 1.1649e-06,  Residual: 5.64722e-07 
122 TAO,  Function value: 1.1649e-06,  Residual: 7.456e-07 
123 TAO,  Function value: 1.16473e-06,  Residual: 6.28209e-07 
124 TAO,  Function value: 1.16464e-06,  Residual: 7.09135e-07 
125 TAO,  Function value: 1.16447e-06,  Residual: 6.25127e-07 
126 TAO,  Function value: 1.16438e-06,  Residual: 6.4753e-07 
127 TAO,  Function value: 1.16434e-06,  Residual: 7.31184e-07 
128 TAO,  Function value: 1.16419e-06,  Residual: 6.13379e-07 
129 TAO,  Function value: 1.16415e-06,  Residual: 7.27879e-07 
130 TAO,  Function value: 1.16399e-06,  Residual: 5.51767e-07 
131 TAO,  Function value: 1.16391e-06,  Residual: 5.96124e-07 
132 TAO,  Function value: 1.16385e-06,  Residual: 5.2955e-07 
133 TAO,  Function value: 1.16379e-06,  Residual: 6.27718e-07 
134 TAO,  Function value: 1.16374e-06,  Residual: 6.92135e-07 
135 TAO,  Function value: 1.1637e-06,  Residual: 7.14019e-07 
136 TAO,  Function value: 1.16355e-06,  Residual: 6.7516e-07 
137 TAO,  Function value: 1.16351e-06,  Residual: 7.43185e-07 
138 TAO,  Function value: 1.16345e-06,  Residual: 6.88422e-07 
139 TAO,  Function value: 1.1633e-06,  Residual: 5.56798e-07 
140 TAO,  Function value: 1.16324e-06,  Residual: 5.81454e-07 
141 TAO,  Function value: 1.16319e-06,  Residual: 6.3399e-07 
142 TAO,  Function value: 1.16314e-06,  Residual: 7.20142e-07 
143 TAO,  Function value: 1.16302e-06,  Residual: 5.84355e-07 
144 TAO,  Function value: 1.16298e-06,  Residual: 6.41471e-07 
145 TAO,  Function value: 1.16297e-06,  Residual: 7.1279e-07 
146 TAO,  Function value: 1.16284e-06,  Residual: 5.45805e-07 
147 TAO,  Function value: 1.1628e-06,  Residual: 6.30728e-07 
148 TAO,  Function value: 1.16275e-06,  Residual: 5.2618e-07 
