  318 KSP Residual norm 1.6834e-05 
  319 KSP Residual norm 1.61249e-05 
  320 KSP Residual norm 1.56383e-05 
  321 KSP Residual norm 1.51854e-05 
  322 KSP Residual norm 1.4725e-05 
  323 KSP Residual norm 1.44047e-05 
  324 KSP Residual norm 1.41404e-05 
  325 KSP Residual norm 1.38761e-05 
  326 KSP Residual norm 1.36662e-05 
  327 KSP Residual norm 1.34568e-05 
  328 KSP Residual norm 1.32104e-05 
  329 KSP Residual norm 1.29041e-05 
  330 KSP Residual norm 1.25772e-05 
  331 KSP Residual norm 1.22857e-05 
  332 KSP Residual norm 1.19903e-05 
  333 KSP Residual norm 1.17175e-05 
  334 KSP Residual norm 1.13633e-05 
  335 KSP Residual norm 1.09936e-05 
  336 KSP Residual norm 1.05882e-05 
  337 KSP Residual norm 1.00387e-05 
  338 KSP Residual norm 9.46054e-06 
  339 KSP Residual norm 9.0216e-06 
  340 KSP Residual norm 8.53167e-06 
  341 KSP Residual norm 8.18619e-06 
  342 KSP Residual norm 7.87647e-06 
  343 KSP Residual norm 7.68676e-06 
  344 KSP Residual norm 7.51692e-06 
  345 KSP Residual norm 7.37867e-06 
  346 KSP Residual norm 7.27106e-06 
  347 KSP Residual norm 7.1913e-06 
  348 KSP Residual norm 7.12767e-06 
  349 KSP Residual norm 7.06755e-06 
  350 KSP Residual norm 7.00692e-06 
  351 KSP Residual norm 6.90799e-06 
  352 KSP Residual norm 6.75356e-06 
  353 KSP Residual norm 6.58317e-06 
  354 KSP Residual norm 6.39077e-06 
  355 KSP Residual norm 6.18509e-06 
  356 KSP Residual norm 5.93478e-06 
  357 KSP Residual norm 5.71128e-06 
  358 KSP Residual norm 5.49595e-06 
  359 KSP Residual norm 5.27499e-06 
  360 KSP Residual norm 5.05107e-06 
  361 KSP Residual norm 4.89307e-06 
  362 KSP Residual norm 4.77799e-06 
  363 KSP Residual norm 4.70531e-06 
  364 KSP Residual norm 4.65141e-06 
  365 KSP Residual norm 4.62063e-06 
  366 KSP Residual norm 4.59588e-06 
  367 KSP Residual norm 4.57465e-06 
  368 KSP Residual norm 4.55327e-06 
  369 KSP Residual norm 4.53534e-06 
  370 KSP Residual norm 4.51323e-06 
  371 KSP Residual norm 4.48653e-06 
  372 KSP Residual norm 4.45617e-06 
  373 KSP Residual norm 4.42585e-06 
  374 KSP Residual norm 4.39302e-06 
  375 KSP Residual norm 4.35092e-06 
  376 KSP Residual norm 4.29857e-06 
  377 KSP Residual norm 4.25915e-06 
  378 KSP Residual norm 4.23513e-06 
  379 KSP Residual norm 4.218e-06 
  380 KSP Residual norm 4.20446e-06 
  381 KSP Residual norm 4.18899e-06 
  382 KSP Residual norm 4.16354e-06 
  383 KSP Residual norm 4.12553e-06 
  384 KSP Residual norm 4.08006e-06 
  385 KSP Residual norm 4.03016e-06 
  386 KSP Residual norm 3.97782e-06 
  387 KSP Residual norm 3.91388e-06 
  388 KSP Residual norm 3.82849e-06 
  389 KSP Residual norm 3.73408e-06 
  390 KSP Residual norm 3.65176e-06 
  391 KSP Residual norm 3.56113e-06 
  392 KSP Residual norm 3.46868e-06 
  393 KSP Residual norm 3.38968e-06 
  394 KSP Residual norm 3.31473e-06 
  395 KSP Residual norm 3.24065e-06 
  396 KSP Residual norm 3.17371e-06 
  397 KSP Residual norm 3.12072e-06 
  398 KSP Residual norm 3.04987e-06 
  399 KSP Residual norm 2.99174e-06 
  400 KSP Residual norm 2.94727e-06 
  401 KSP Residual norm 2.92488e-06 
  402 KSP Residual norm 2.89019e-06 
  403 KSP Residual norm 2.86488e-06 
  404 KSP Residual norm 2.83995e-06 
  405 KSP Residual norm 2.82635e-06 
  406 KSP Residual norm 2.81429e-06 
  407 KSP Residual norm 2.80875e-06 
  408 KSP Residual norm 2.80283e-06 
  409 KSP Residual norm 2.79753e-06 
  410 KSP Residual norm 2.79179e-06 
  411 KSP Residual norm 2.78633e-06 
  412 KSP Residual norm 2.77886e-06 
  413 KSP Residual norm 2.76859e-06 
  414 KSP Residual norm 2.75456e-06 
  415 KSP Residual norm 2.73773e-06 
  416 KSP Residual norm 2.71757e-06 
  417 KSP Residual norm 2.69471e-06 
  418 KSP Residual norm 2.67576e-06 
  419 KSP Residual norm 2.65952e-06 
  420 KSP Residual norm 2.6426e-06 
  421 KSP Residual norm 2.62203e-06 
  422 KSP Residual norm 2.59429e-06 
  423 KSP Residual norm 2.55992e-06 
  424 KSP Residual norm 2.52193e-06 
  425 KSP Residual norm 2.48343e-06 
  426 KSP Residual norm 2.45165e-06 
  427 KSP Residual norm 2.42616e-06 
  428 KSP Residual norm 2.40179e-06 
  429 KSP Residual norm 2.37109e-06 
  430 KSP Residual norm 2.32282e-06 
  431 KSP Residual norm 2.27637e-06 
  432 KSP Residual norm 2.22523e-06 
  433 KSP Residual norm 2.18174e-06 
  434 KSP Residual norm 2.14698e-06 
  435 KSP Residual norm 2.11891e-06 
  436 KSP Residual norm 2.08964e-06 
  437 KSP Residual norm 2.06299e-06 
  438 KSP Residual norm 2.04312e-06 
  439 KSP Residual norm 2.02937e-06 
  440 KSP Residual norm 2.01761e-06 
  441 KSP Residual norm 2.00561e-06 
  442 KSP Residual norm 1.9948e-06 
  443 KSP Residual norm 1.9862e-06 
  444 KSP Residual norm 1.97776e-06 
  445 KSP Residual norm 1.96692e-06 
  446 KSP Residual norm 1.95505e-06 
  447 KSP Residual norm 1.94038e-06 
  448 KSP Residual norm 1.92164e-06 
  449 KSP Residual norm 1.89707e-06 
  450 KSP Residual norm 1.86773e-06 
  451 KSP Residual norm 1.84088e-06 
  452 KSP Residual norm 1.80641e-06 
  453 KSP Residual norm 1.76325e-06 
  454 KSP Residual norm 1.725e-06 
  455 KSP Residual norm 1.69578e-06 
  456 KSP Residual norm 1.67518e-06 
  457 KSP Residual norm 1.65279e-06 
  458 KSP Residual norm 1.63188e-06 
  459 KSP Residual norm 1.61261e-06 
  460 KSP Residual norm 1.59511e-06 
  461 KSP Residual norm 1.57837e-06 
  462 KSP Residual norm 1.56302e-06 
  463 KSP Residual norm 1.54887e-06 
  464 KSP Residual norm 1.53259e-06 
  465 KSP Residual norm 1.51568e-06 
  466 KSP Residual norm 1.49527e-06 
  467 KSP Residual norm 1.46631e-06 
  468 KSP Residual norm 1.42446e-06 
  469 KSP Residual norm 1.35783e-06 
  470 KSP Residual norm 1.28009e-06 
  471 KSP Residual norm 1.20145e-06 
  472 KSP Residual norm 1.14029e-06 
  473 KSP Residual norm 1.08598e-06 
  474 KSP Residual norm 1.04715e-06 
  475 KSP Residual norm 1.01591e-06 
  476 KSP Residual norm 9.91691e-07 
  477 KSP Residual norm 9.73181e-07 
  478 KSP Residual norm 9.57151e-07 
  479 KSP Residual norm 9.3934e-07 
  480 KSP Residual norm 9.22492e-07 
  481 KSP Residual norm 9.0445e-07 
  482 KSP Residual norm 8.75308e-07 
  483 KSP Residual norm 8.4169e-07 
  484 KSP Residual norm 8.0732e-07 
  485 KSP Residual norm 7.75276e-07 
  486 KSP Residual norm 7.43519e-07 
  487 KSP Residual norm 7.1449e-07 
  488 KSP Residual norm 6.83206e-07 
  489 KSP Residual norm 6.62704e-07 
  490 KSP Residual norm 6.44937e-07 
  491 KSP Residual norm 6.26405e-07 
  492 KSP Residual norm 6.08184e-07 
  493 KSP Residual norm 5.91904e-07 
